id,source,target,edge_type,relation
EC01,P1,R12,E_cross,located_in
EC02,P2,R13,E_cross,located_in
EC03,P3,R11,E_cross,located_in
EC04,P4,R14,E_cross,located_in
EC05,P5,R9,E_cross,located_in
EC06,P6,R8,E_cross,located_in
EC07,P7,R7,E_cross,located_in
EC08,P8,R31,E_cross,located_in
EC09,P9,R31a,E_cross,located_in
EC10,P10,R30,E_cross,located_in
EC11,P11,R29,E_cross,located_in
EC12,P12,R28,E_cross,located_in
EC13,P13,R28,E_cross,located_in
EC14,P14,R29,E_cross,located_in
EC15,P15,R25,E_cross,located_in
EC16,P16,R26,E_cross,located_in
EC17,P17,R24,E_cross,located_in
EC18,P18,R23,E_cross,located_in
EC19,P19,R22,E_cross,located_in
EC20,P20,R21,E_cross,located_in
EC21,P21,R44,E_cross,located_in
EC22,P22,R45,E_cross,located_in
EC23,P23,R20,E_cross,located_in
EC24,P24,R40,E_cross,located_in
EC25,P25,R38,E_cross,located_in
EC26,P26,R34,E_cross,located_in
EC27,P27,R43,E_cross,located_in
EC28,P28,R37a,E_cross,located_in
EC29,V1S1,R12,E_cross,located_in
EC30,V1S2,R11,E_cross,located_in
EC31,V1S3,R8,E_cross,located_in
EC32,V1S4,R7,E_cross,located_in
EC33,V2S1,R31a,E_cross,located_in
EC34,V2S2,R31,E_cross,located_in
EC35,V2S3,R32,E_cross,located_in
EC36,V2S4,R33,E_cross,located_in
EC37,V3S1,R41,E_cross,located_in
EC38,V3S2,R42,E_cross,located_in
EC39,V3S3,R36,E_cross,located_in
EC40,V3S4,R34,E_cross,located_in
EC41,V1S1,P1,E_cross,observed
EC42,V1S2,P3,E_cross,observed
EC43,V1S3,P6,E_cross,observed
EC44,V1S4,P7,E_cross,observed
EC45,V2S1,P9,E_cross,observed
EC46,V2S2,P8,E_cross,observed
EC47,V2S3,P10,E_cross,observed
EC48,V2S4,P11,E_cross,observed
EC49,V3S1,P24,E_cross,observed
EC50,V3S2,P28,E_cross,observed
EC51,V3S3,P27,E_cross,observed
EC52,V3S4,P26,E_cross,observed
