id,label,node_type,dimension,visitor_id,room_id,x,y,time_start,time_end
VB1,Visitor 1,V_base,mo,V1,,0.055,0.760,,
V1S1,V1-1,V_seq,mo,V1,R12,0.130,0.755,10:00,10:03
V1S2,V1-2,V_seq,mo,V1,R11,0.185,0.715,10:03,10:06
V1S3,V1-3,V_seq,mo,V1,R8,0.275,0.715,10:06,10:10
V1S4,V1-4,V_seq,mo,V1,R7,0.355,0.715,10:10,10:14

VB2,Visitor 2,V_base,mo,V2,,0.855,0.810,,
V2S1,V2-1,V_seq,mo,V2,R31a,0.800,0.755,10:02,10:05
V2S2,V2-2,V_seq,mo,V2,R31,0.730,0.715,10:05,10:09
V2S3,V2-3,V_seq,mo,V2,R32,0.650,0.715,10:09,10:13
V2S4,V2-4,V_seq,mo,V2,R33,0.580,0.715,10:13,10:17

VB3,Visitor 3,V_base,mo,V3,,0.055,0.060,,
V3S1,V3-1,V_seq,mo,V3,R41,0.150,0.070,10:04,10:07
V3S2,V3-2,V_seq,mo,V3,R42,0.340,0.070,10:07,10:11
V3S3,V3-3,V_seq,mo,V3,R36,0.345,0.120,10:11,10:15
V3S4,V3-4,V_seq,mo,V3,R34,0.465,0.215,10:15,10:19
