id,source,target,edge_type,relation
E01,R41,R42,E_rel,connected_to
E02,R42,R36,E_rel,connected_to
E03,R36,R34,E_rel,connected_to
E04,R34,R43,E_rel,connected_to
E05,R43,R44,E_rel,connected_to
E06,R43,R45,E_rel,connected_to
E07,R44,R45,E_rel,connected_to
E08,R45,R34,E_rel,connected_to
E09,R47,R46,E_rel,connected_to
E10,R40,R38,E_rel,connected_to
E11,R37,R37a,E_rel,connected_to
E12,R37a,R38,E_rel,connected_to
E13,R38,R39,E_rel,connected_to
E14,R16,R17,E_rel,connected_to
E15,R17,R18,E_rel,connected_to
E16,R18,R21,E_rel,connected_to
E17,R21,R22,E_rel,connected_to
E18,R22,R23,E_rel,connected_to
E19,R23,R24,E_rel,connected_to
E20,R24,R25,E_rel,connected_to
E21,R24,R28,E_rel,connected_to
E22,R25,R26,E_rel,connected_to
E23,R26,R29,E_rel,connected_to
E24,R29,R30,E_rel,connected_to
E25,R30,R31,E_rel,connected_to
E26,R31,R31a,E_rel,connected_to
E27,R31,R32,E_rel,connected_to
E28,R32,R33,E_rel,connected_to
E29,R33,R2,E_rel,connected_to
E30,R2,R1,E_rel,connected_to
E31,R7,R2,E_rel,connected_to
E32,R8,R7,E_rel,connected_to
E33,R11,R8,E_rel,connected_to
E34,R12,R13,E_rel,connected_to
E35,R13,R11,E_rel,connected_to
E36,R14,R13,E_rel,connected_to
E37,R14,R10a,E_rel,connected_to
E38,R10a,R10,E_rel,connected_to
E39,R10,R9,E_rel,connected_to
E40,R9,R8,E_rel,connected_to
E41,R14,R15,E_rel,connected_to
E42,R20,R17,E_rel,connected_to
E43,R23,R25,E_rel,connected_to
E44,R3,R4,E_rel,connected_to
E45,R5,R4,E_rel,connected_to
E46,R4,R6,E_rel,connected_to
E47,R21,R4,E_rel,connected_to
E48,R41,R40,E_rel,connected_to
E49,R40,R37,E_rel,connected_to
E50,R39,R16,E_rel,connected_to
E51,R15,R16,E_rel,connected_to
E52,R2,R4,E_rel,connected_to
E53,R21,R34,E_rel,connected_to
E54,R28,R29,E_rel,connected_to
E55,R26,R27,E_rel,connected_to

