id,label,node_type,dimension,x,y
R1,1,V_base,spatial,0.465,0.765
R2,2,V_base,spatial,0.465,0.705
R3,3,V_base,spatial,0.405,0.420
R4,4,V_base,spatial,0.465,0.515
R5,5,V_base,spatial,0.405,0.515
R6,6,V_base,spatial,0.530,0.515
R7,7,V_base,spatial,0.355,0.705
R8,8,V_base,spatial,0.275,0.705
R9,9,V_base,spatial,0.275,0.655
R10,10,V_base,spatial,0.190,0.610
R10a,10a,V_base,spatial,0.190,0.520
R11,11,V_base,spatial,0.185,0.705
R12,12,V_base,spatial,0.130,0.755
R13,13,V_base,spatial,0.135,0.635
R14,14,V_base,spatial,0.135,0.520
R15,15,V_base,spatial,0.135,0.395
R16,16,V_base,spatial,0.205,0.330
R17,17,V_base,spatial,0.290,0.330
R18,18,V_base,spatial,0.370,0.330
R20,20,V_base,spatial,0.190,0.455
R21,21,V_base,spatial,0.465,0.330
R22,22,V_base,spatial,0.560,0.330
R23,23,V_base,spatial,0.640,0.330
R24,24,V_base,spatial,0.720,0.330
R25,25,V_base,spatial,0.740,0.400
R26,26,V_base,spatial,0.740,0.525
R27,27,V_base,spatial,0.740,0.595
R28,28,V_base,spatial,0.800,0.410
R29,29,V_base,spatial,0.800,0.525
R30,30,V_base,spatial,0.800,0.615
R31,31,V_base,spatial,0.730,0.705
R31a,31a,V_base,spatial,0.800,0.765
R32,32,V_base,spatial,0.650,0.705
R33,33,V_base,spatial,0.580,0.705
R34,34,V_base,spatial,0.465,0.205
R36,36,V_base,spatial,0.345,0.110
R37,37,V_base,spatial,0.170,0.110
R37a,37a,V_base,spatial,0.170,0.180
R38,38,V_base,spatial,0.140,0.225
R39,39,V_base,spatial,0.140,0.285
R40,40,V_base,spatial,0.110,0.145
R41,41,V_base,spatial,0.150,0.060
R42,42,V_base,spatial,0.340,0.060
R43,43,V_base,spatial,0.465,0.060
R44,44,V_base,spatial,0.610,0.060
R45,45,V_base,spatial,0.610,0.110
R46,46,V_base,spatial,0.750,0.110
R47,47,V_base,spatial,0.730,0.060
